TimeGenerated [Local Time],ContainerImage_s,ContainerName_s,RevisionName_s,Log_s
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 3/5: BUY 0.227 @ 90,531.40 (현재가: 90,531.40)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"⚠️ 부분 체결: 0.003/0.227, 남은 수량 0.224"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 4/5: BUY 0.224 @ 90,531.40 (현재가: 90,531.40)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ Chase Order 체결: BUY 0.224 @ 90,531.40 (4번 시도)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: EXIT (before_pos=-0.234000, after_pos=+0.000000, after_pos_api=+0.000000, side=BUY, executed_qty=+0.198000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T01:34:05] orderId=11579106258 side=BUY type=LIMIT(Maker) | pos_usd $-21,179.86 -> $0.00 | pos -0.2340 -> +0.0000 | last=90,530.40 | rsi(14)=29.70 rsi_rt(14)=29.70 | reason=RSI Exit Short (33.6 -> 29.7) | commission=3.5850 USDT (rate=0.02%) | pnl=-4.49 (before fee) | pnl_after_fee=-8.08 (after fee)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=EXIT, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: BUY 0.233 @ 90,526.50 (현재가: 90,526.60)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: BUY 0.233 @ 90,526.50 (현재가: 90,526.60)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 3/5: BUY 0.233 @ 90,526.50 (현재가: 90,526.60)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 4/5: BUY 0.233 @ 90,526.50 (현재가: 90,526.60)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 5/5: BUY 0.233 @ 90,526.50 (현재가: 90,526.60)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🚨 Chase Order 실패 → 시장가로 전환 (남은 수량: 0.2330)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📐 정밀도 보정: qty 0.233 -> 0.233, price None -> None"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔍 주문 크기 검증: order_value=$21092.70, max_order_value=$21121.63, total_equity=$4310.54, leverage=10, max_order_size=0.49"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: ENTRY (before_pos=+0.000000, after_pos=+0.233000, after_pos_api=+0.233000, side=BUY, executed_qty=+0.233000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T01:38:06] orderId=11579177278 side=BUY type=MARKET(Taker) | pos_usd $0.00 -> $21,092.70 | pos +0.0000 -> +0.2330 | last=90,526.60 | rsi(14)=31.20 rsi_rt(14)=31.20 | reason=Entry Long (26.9 -> 31.2) | commission=8.4371 USDT (rate=0.04%)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=ENTRY, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: SELL 0.233 @ 90,598.00 (현재가: 90,597.90)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: SELL 0.233 @ 90,598.00 (현재가: 90,597.90)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 3/5: SELL 0.233 @ 90,598.00 (현재가: 90,597.90)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 4/5: SELL 0.233 @ 90,598.00 (현재가: 90,597.90)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 5/5: SELL 0.233 @ 90,597.90 (현재가: 90,597.80)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🚨 Chase Order 실패 → 시장가로 전환 (남은 수량: 0.2330)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📐 정밀도 보정: qty 0.233 -> 0.233, price None -> None"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: EXIT (before_pos=+0.233000, after_pos=+0.000000, after_pos_api=+0.000000, side=SELL, executed_qty=+0.233000)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"✅ 주문 체결[2026-01-11T01:59:07] orderId=11579556045 side=SELL type=MARKET(Taker) | pos_usd $21,092.70 -> $0.00 | pos +0.2330 -> +0.0000 | last=90,597.80 | rsi(14)=74.08 rsi_rt(14)=73.97 | reason=RSI Exit Long (64.5 -> 74.1) | commission=8.4437 USDT (rate=0.04%) | pnl=+16.54 (before fee) | pnl_after_fee=+8.10 (after fee)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📤 Slack 알림 전송 시도: event=EXIT, notifier=있음"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,✅ Slack 알림 전송 성공
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 1/5: SELL 0.233 @ 90,579.40 (현재가: 90,579.20)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 2/5: SELL 0.233 @ 90,579.30 (현재가: 90,579.20)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 3/5: SELL 0.233 @ 90,579.30 (현재가: 90,579.30)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 4/5: SELL 0.233 @ 90,579.30 (현재가: 90,579.20)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🎯 Chase Order 시도 5/5: SELL 0.233 @ 90,579.30 (현재가: 90,579.20)"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🔄 Chase Order 취소 후 재시도: 가격 이동
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,🚨 Chase Order 실패 → 시장가로 전환 (남은 수량: 0.2250)
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"📐 정밀도 보정: qty 0.225 -> 0.225, price None -> None"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔍 주문 크기 검증: order_value=$20380.32, max_order_value=$21119.27, total_equity=$4310.05, leverage=10, max_order_size=0.49"
"1/11/2026, 오전 11:07:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"🔔 이벤트 분류: ENTRY (before_pos=+0.000000, after_pos=-0.233000, after_pos_api=-0.233000, side=SELL, executed_qty=+0.233000)"
"1/11/2026, 오전 11:06:11",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:06:09 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:06, price=90,602.30, rsi=72.37, rsi_rt=72.37, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90602.3, 'total_equity': 4310.19846878}"
"1/11/2026, 오전 11:05:10",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:05:08 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:05, price=90,602.30, rsi=72.37, rsi_rt=72.37, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90602.3, 'total_equity': 4310.19846878}"
"1/11/2026, 오전 11:04:09",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:04:07 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:04, price=90,602.30, rsi=72.37, rsi_rt=72.37, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90602.3, 'total_equity': 4310.19846878}"
"1/11/2026, 오전 11:03:08",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:03:06 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:03, price=90,606.50, rsi=77.55, rsi_rt=77.55, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90606.5, 'total_equity': 4310.19846878}"
"1/11/2026, 오전 11:02:08",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:02:06 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:02, price=90,597.80, rsi=73.96, rsi_rt=73.96, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90597.8, 'total_equity': 4310.19846878}"
"1/11/2026, 오전 11:01:08",autotraderbinance.azurecr.io/autotrader:6187d1404676f86f529fc9c25422064ba19d3db2,autotrader,autotrader--0000059,"2026-01-11 02:01:06 - llmtrader.live - INFO - TICK | symbol=BTCUSDT, bar_time=2026-01-11T02:01, price=90,597.80, rsi=73.96, rsi_rt=73.96, position=0.0000, balance=4,310.20, pnl=0.00 | {'rsi_period': 14, 'bar_close': 90597.8, 'total_equity': 4310.19846878}"
